Read  speed:  4234 kB/s (CD  24x, DVD  3x).
Write speed:  4234 kB/s (CD  24x, DVD  3x).
Capacity: 213504 Blocks = 427008 kBytes = 417 MBytes = 437 prMB
Sectorsize: 2048 Bytes
Errno: 5 (Input/output error), mode select g1 scsi sendcmd: no error
CDB:  55 10 00 00 00 00 00 00 14 00
status: 0x2 (CHECK CONDITION)
Sense Bytes: 70 00 05 00 00 00 00 0A 18 00 00 00 26 00 00 00
Sense Key: 0x5 Illegal Request, Segment 0
Sense Code: 0x26 Qual 0x00 (invalid field in parameter list) Fru 0x0
Sense flags: Blk 0 (not valid) 
cmd finished after 0.029s timeout 40s
Copy from SCSI (2,0,0) disk to file '/dev/null'
end:    213504
addr:        0 cnt: 49
addr:       49 cnt: 49
addr:       98 cnt: 49
addr:      147 cnt: 49
addr:      196 cnt: 49
addr:      245 cnt: 49
addr:     4998 cnt: 49
addr:     5047 cnt: 49
addr:     5096 cnt: 49
addr:     5145 cnt: 49
addr:     5194 cnt: 49
addr:     5243 cnt: 49
addr:     5292 cnt: 49
addr:     5341 cnt: 49
addr:     5390 cnt: 49
addr:     5439 cnt: 49
addr:     5488 cnt: 49
addr:     5537 cnt: 49
addr:     5586 cnt: 49
addr:     5635 cnt: 49
addr:     5684 cnt: 49
addr:     5733 cnt: 49
addr:     5782 cnt: 49
addr:     5831 cnt: 49
addr:     5880 cnt: 49
addr:     5929 cnt: 49
addr:     5978 cnt: 49
addr:     6027 cnt: 49
addr:     6076 cnt: 49
addr:     6125 cnt: 49
addr:     6174 cnt: 49
addr:     6223 cnt: 49
addr:     6272 cnt: 49
addr:     6321 cnt: 49
addr:     6370 cnt: 49
addr:     6419 cnt: 49
addr:     6468 cnt: 49
addr:     6517 cnt: 49
addr:     6566 cnt: 49
addr:     6615 cnt: 49
addr:     6664 cnt: 49
addr:     6713 cnt: 49
addr:     6762 cnt: 49
addr:     6811 cnt: 49
addr:     6860 cnt: 49
addr:     6909 cnt: 49
addr:     6958 cnt: 49
addr:     7007 cnt: 49
addr:     7056 cnt: 49
addr:     7105 cnt: 49
addr:     7154 cnt: 49
addr:     7203 cnt: 49
addr:     7252 cnt: 49
addr:     7301 cnt: 49
addr:     7350 cnt: 49
addr:     7399 cnt: 49
addr:     7448 cnt: 49
addr:     7497 cnt: 49
addr:     7546 cnt: 49
addr:     7595 cnt: 49
addr:     7644 cnt: 49
addr:     7693 cnt: 49
addr:     7742 cnt: 49
addr:     7791 cnt: 49
addr:     7840 cnt: 49
addr:     7889 cnt: 49
addr:     7938 cnt: 49
addr:     7987 cnt: 49
addr:     8036 cnt: 49
addr:     8085 cnt: 49
addr:     8134 cnt: 49
addr:     8183 cnt: 49
addr:     8232 cnt: 49
addr:     8281 cnt: 49
addr:     8330 cnt: 49
addr:     8379 cnt: 49
addr:     8428 cnt: 49
addr:     8477 cnt: 49
addr:     8526 cnt: 49
addr:     8575 cnt: 49
addr:     8624 cnt: 49
addr:     8673 cnt: 49
addr:     8722 cnt: 49
addr:     8771 cnt: 49
addr:     8820 cnt: 49
addr:     8869 cnt: 49
addr:     8918 cnt: 49
addr:     8967 cnt: 49
addr:     9016 cnt: 49
addr:     9065 cnt: 49
addr:     9114 cnt: 49
addr:     9163 cnt: 49
addr:     9212 cnt: 49
addr:     9261 cnt: 49
addr:     9310 cnt: 49
addr:     9359 cnt: 49
addr:     9408 cnt: 49
addr:     9457 cnt: 49
addr:     9506 cnt: 49
addr:     9555 cnt: 49
addr:     9604 cnt: 49
addr:     9653 cnt: 49
addr:     9702 cnt: 49
addr:     9751 cnt: 49
addr:     9800 cnt: 49
addr:     9849 cnt: 49
addr:     9898 cnt: 49
addr:     9947 cnt: 49
addr:     9996 cnt: 49
addr:    10045 cnt: 49
addr:    10094 cnt: 49
addr:    10143 cnt: 49
addr:    10192 cnt: 49
addr:    10241 cnt: 49
addr:    10290 cnt: 49
addr:    10339 cnt: 49
addr:    10388 cnt: 49
addr:    10437 cnt: 49
addr:    10486 cnt: 49
addr:    10535 cnt: 49
addr:    10584 cnt: 49
addr:    10633 cnt: 49
addr:    10682 cnt: 49
addr:    10731 cnt: 49
addr:    10780 cnt: 49
addr:    10829 cnt: 49
addr:    10878 cnt: 49
addr:    10927 cnt: 49
addr:    10976 cnt: 49
addr:    11025 cnt: 49
addr:    11074 cnt: 49
addr:    11123 cnt: 49
addr:    11172 cnt: 49
addr:    11221 cnt: 49
addr:    11270 cnt: 49
addr:    11319 cnt: 49
addr:    11368 cnt: 49
addr:    11417 cnt: 49
addr:    11466 cnt: 49
addr:    11515 cnt: 49
addr:    11564 cnt: 49
addr:    11613 cnt: 49
addr:    11662 cnt: 49
addr:    11711 cnt: 49
addr:    11760 cnt: 49
addr:    11809 cnt: 49
addr:    11858 cnt: 49
addr:    11907 cnt: 49
addr:    11956 cnt: 49
addr:    12005 cnt: 49
addr:    12054 cnt: 49
addr:    12103 cnt: 49
addr:    12152 cnt: 49
addr:    12201 cnt: 49
addr:    12250 cnt: 49
addr:    12299 cnt: 49
addr:    12348 cnt: 49
addr:    12397 cnt: 49
addr:    12446 cnt: 49
addr:    12495 cnt: 49
addr:    12544 cnt: 49
addr:    12593 cnt: 49
addr:    12642 cnt: 49
addr:    12691 cnt: 49
addr:    12740 cnt: 49
addr:    12789 cnt: 49
addr:    12838 cnt: 49
addr:    12887 cnt: 49
addr:    12936 cnt: 49
addr:    12985 cnt: 49
addr:    13034 cnt: 49
addr:    13083 cnt: 49
addr:    13132 cnt: 49
addr:    13181 cnt: 49
addr:    13230 cnt: 49
addr:    13279 cnt: 49
addr:    13328 cnt: 49
addr:    13377 cnt: 49
addr:    13426 cnt: 49
addr:    13475 cnt: 49
addr:    13524 cnt: 49
addr:    13573 cnt: 49
addr:    13622 cnt: 49
addr:    13671 cnt: 49
addr:    13720 cnt: 49
addr:    13769 cnt: 49
addr:    13818 cnt: 49
addr:    13867 cnt: 49
addr:    13916 cnt: 49
addr:    13965 cnt: 49
addr:    14014 cnt: 49
addr:    14063 cnt: 49
addr:    14112 cnt: 49
addr:    14161 cnt: 49
addr:    14210 cnt: 49
addr:    14259 cnt: 49
addr:    14308 cnt: 49
addr:    14357 cnt: 49
addr:    14406 cnt: 49
addr:    14455 cnt: 49
addr:    14504 cnt: 49
addr:    14553 cnt: 49
addr:    14602 cnt: 49
addr:    14651 cnt: 49
addr:    14700 cnt: 49
addr:    14749 cnt: 49
addr:    14798 cnt: 49
addr:    14847 cnt: 49
addr:    14896 cnt: 49
addr:    14945 cnt: 49
addr:    14994 cnt: 49
addr:    15043 cnt: 49
addr:    15092 cnt: 49
addr:    15141 cnt: 49
addr:    15190 cnt: 49
addr:    15239 cnt: 49
addr:    15288 cnt: 49
addr:    15337 cnt: 49
addr:    15386 cnt: 49
addr:    15435 cnt: 49
addr:    15484 cnt: 49
addr:    15533 cnt: 49
addr:    15582 cnt: 49
addr:    15631 cnt: 49
addr:    15680 cnt: 49
addr:    15729 cnt: 49
addr:    15778 cnt: 49
addr:    15827 cnt: 49
addr:    15876 cnt: 49
addr:    15925 cnt: 49
addr:    15974 cnt: 49
addr:    16023 cnt: 49
addr:    16072 cnt: 49
addr:    16121 cnt: 49
addr:    16170 cnt: 49
addr:    16219 cnt: 49
addr:    16268 cnt: 49
addr:    16317 cnt: 49
addr:    16366 cnt: 49
addr:    16415 cnt: 49
addr:    16464 cnt: 49
addr:    16513 cnt: 49
addr:    16562 cnt: 49
addr:    16611 cnt: 49
addr:    16660 cnt: 49
addr:    16709 cnt: 49
addr:    16758 cnt: 49
addr:    16807 cnt: 49
addr:    16856 cnt: 49
addr:    16905 cnt: 49
addr:    16954 cnt: 49
addr:    17003 cnt: 49
addr:    17052 cnt: 49
addr:    17101 cnt: 49
addr:    17150 cnt: 49
addr:    17199 cnt: 49
addr:    17248 cnt: 49
addr:    17297 cnt: 49
addr:    17346 cnt: 49
addr:    17395 cnt: 49
addr:    17444 cnt: 49
addr:    17493 cnt: 49
addr:    17542 cnt: 49
addr:    17591 cnt: 49
addr:    17640 cnt: 49
addr:    17689 cnt: 49
addr:    17738 cnt: 49
addr:    17787 cnt: 49
addr:    17836 cnt: 49
addr:    17885 cnt: 49
addr:    17934 cnt: 49
addr:    17983 cnt: 49
addr:    18032 cnt: 49
addr:    18081 cnt: 49
addr:    18130 cnt: 49
addr:    18179 cnt: 49
addr:    18228 cnt: 49
addr:    18277 cnt: 49
addr:    18326 cnt: 49
addr:    18375 cnt: 49
addr:    18424 cnt: 49
addr:    18473 cnt: 49
addr:    18522 cnt: 49
addr:    18571 cnt: 49
addr:    18620 cnt: 49
addr:    18669 cnt: 49
addr:    18718 cnt: 49
addr:    18767 cnt: 49
addr:    18816 cnt: 49
addr:    18865 cnt: 49
addr:    18914 cnt: 49
addr:    18963 cnt: 49
addr:    19012 cnt: 49
addr:    19061 cnt: 49
addr:    19110 cnt: 49
addr:    19159 cnt: 49
addr:    19208 cnt: 49
addr:    19257 cnt: 49
addr:    19306 cnt: 49
addr:    19355 cnt: 49
addr:    19404 cnt: 49
addr:    19453 cnt: 49
addr:    19502 cnt: 49
addr:    19551 cnt: 49
addr:    19600 cnt: 49
addr:    19649 cnt: 49
addr:    19698 cnt: 49
addr:    19747 cnt: 49
addr:    19796 cnt: 49
addr:    19845 cnt: 49
addr:    19894 cnt: 49
addr:    19943 cnt: 49
addr:    19992 cnt: 49
addr:    20041 cnt: 49
addr:    20090 cnt: 49
addr:    20139 cnt: 49
addr:    20188 cnt: 49
addr:    20237 cnt: 49
addr:    20286 cnt: 49
addr:    20335 cnt: 49
addr:    20384 cnt: 49
addr:    20433 cnt: 49
addr:    20482 cnt: 49
addr:    20531 cnt: 49
addr:    20580 cnt: 49
addr:    20629 cnt: 49
addr:    20678 cnt: 49
addr:    20727 cnt: 49
addr:    20776 cnt: 49
addr:    20825 cnt: 49
addr:    20874 cnt: 49
addr:    20923 cnt: 49
addr:    20972 cnt: 49
addr:    21021 cnt: 49
addr:    21070 cnt: 49
addr:    21119 cnt: 49
addr:    21168 cnt: 49
addr:    21217 cnt: 49
addr:    21266 cnt: 49
addr:    21315 cnt: 49
addr:    21364 cnt: 49
addr:    21413 cnt: 49
addr:    21462 cnt: 49
addr:    21511 cnt: 49
addr:    21560 cnt: 49
addr:    21609 cnt: 49
addr:    21658 cnt: 49
addr:    21707 cnt: 49
addr:    21756 cnt: 49
addr:    21805 cnt: 49
addr:    21854 cnt: 49
addr:    21903 cnt: 49
addr:    21952 cnt: 49
addr:    22001 cnt: 49
addr:    22050 cnt: 49
addr:    22099 cnt: 49
addr:    22148 cnt: 49
addr:    22197 cnt: 49
addr:    22246 cnt: 49
addr:    22295 cnt: 49
addr:    22344 cnt: 49
addr:    22393 cnt: 49
addr:    22442 cnt: 49
addr:    22491 cnt: 49
addr:    22540 cnt: 49
addr:    22589 cnt: 49
addr:    22638 cnt: 49
addr:    22687 cnt: 49
addr:    22736 cnt: 49
addr:    22785 cnt: 49
addr:    22834 cnt: 49
addr:    22883 cnt: 49
addr:    22932 cnt: 49
addr:    22981 cnt: 49
addr:    23030 cnt: 49
addr:    23079 cnt: 49
addr:    23128 cnt: 49
addr:    23177 cnt: 49
addr:    23226 cnt: 49
addr:    23275 cnt: 49
addr:    23324 cnt: 49
addr:    23373 cnt: 49
addr:    23422 cnt: 49
addr:    23471 cnt: 49
addr:    23520 cnt: 49
addr:    23569 cnt: 49
addr:    23618 cnt: 49
addr:    23667 cnt: 49
addr:    23716 cnt: 49
addr:    23765 cnt: 49
addr:    23814 cnt: 49
addr:    23863 cnt: 49
addr:    23912 cnt: 49
addr:    23961 cnt: 49
addr:    24010 cnt: 49
addr:    24059 cnt: 49
addr:    24108 cnt: 49
addr:    24157 cnt: 49
addr:    24206 cnt: 49
addr:    24255 cnt: 49
addr:    24304 cnt: 49
addr:    24353 cnt: 49
addr:    24402 cnt: 49
addr:    24451 cnt: 49
addr:    24500 cnt: 49
addr:    24549 cnt: 49
addr:    24598 cnt: 49
addr:    24647 cnt: 49
addr:    24696 cnt: 49
addr:    24745 cnt: 49
addr:    24794 cnt: 49
addr:    24843 cnt: 49
addr:    24892 cnt: 49
addr:    24941 cnt: 49
addr:    24990 cnt: 49
addr:    25039 cnt: 49
addr:    25088 cnt: 49
addr:    25137 cnt: 49
addr:    25186 cnt: 49
addr:    25235 cnt: 49
addr:    25284 cnt: 49
addr:    25333 cnt: 49
addr:    25382 cnt: 49
addr:    25431 cnt: 49
addr:    25480 cnt: 49
addr:    25529 cnt: 49
addr:    25578 cnt: 49
addr:    25627 cnt: 49
addr:    25676 cnt: 49
addr:    25725 cnt: 49
addr:    25774 cnt: 49
addr:    25823 cnt: 49
addr:    25872 cnt: 49
addr:    25921 cnt: 49
addr:    25970 cnt: 49
addr:    26019 cnt: 49
addr:    26068 cnt: 49
addr:    26117 cnt: 49
addr:    26166 cnt: 49
addr:    26215 cnt: 49
addr:    26264 cnt: 49
addr:    26313 cnt: 49
addr:    26362 cnt: 49
addr:    26411 cnt: 49
addr:    26460 cnt: 49
addr:    26509 cnt: 49
addr:    26558 cnt: 49
addr:    26607 cnt: 49
addr:    26656 cnt: 49
addr:    26705 cnt: 49
addr:    26754 cnt: 49
addr:    26803 cnt: 49
addr:    26852 cnt: 49
addr:    26901 cnt: 49
addr:    26950 cnt: 49
addr:    26999 cnt: 49
addr:    27048 cnt: 49
addr:    27097 cnt: 49
addr:    27146 cnt: 49
addr:    27195 cnt: 49
addr:    27244 cnt: 49
addr:    27293 cnt: 49
addr:    27342 cnt: 49
addr:    27391 cnt: 49
addr:    27440 cnt: 49
addr:    27489 cnt: 49
addr:    27538 cnt: 49
addr:    27587 cnt: 49
addr:    27636 cnt: 49
addr:    27685 cnt: 49
addr:    27734 cnt: 49
addr:    27783 cnt: 49
addr:    27832 cnt: 49
addr:    27881 cnt: 49
addr:    27930 cnt: 49
addr:    27979 cnt: 49
addr:    28028 cnt: 49
addr:    28077 cnt: 49
addr:    28126 cnt: 49
addr:    28175 cnt: 49
addr:    28224 cnt: 49
addr:    28273 cnt: 49
addr:    28322 cnt: 49
addr:    28371 cnt: 49
addr:    28420 cnt: 49
addr:    28469 cnt: 49
addr:    28518 cnt: 49
addr:    28567 cnt: 49
addr:    28616 cnt: 49
addr:    28665 cnt: 49
addr:    28714 cnt: 49
addr:    28763 cnt: 49
addr:    28812 cnt: 49
addr:    28861 cnt: 49
addr:    28910 cnt: 49
addr:    28959 cnt: 49
addr:    29008 cnt: 49
addr:    29057 cnt: 49
addr:    29106 cnt: 49
addr:    29155 cnt: 49
addr:    29204 cnt: 49
addr:    29253 cnt: 49
addr:    29302 cnt: 49
addr:    29351 cnt: 49
addr:    29400 cnt: 49
addr:    29449 cnt: 49
addr:    29498 cnt: 49
addr:    29547 cnt: 49
addr:    29596 cnt: 49
addr:    29645 cnt: 49
addr:    29694 cnt: 49
addr:    29743 cnt: 49
addr:    29792 cnt: 49
addr:    29841 cnt: 49
addr:    29890 cnt: 49
addr:    29939 cnt: 49
addr:    29988 cnt: 49
addr:    30037 cnt: 49
addr:    30086 cnt: 49
addr:    30135 cnt: 49
addr:    30184 cnt: 49
addr:    30233 cnt: 49
addr:    30282 cnt: 49
addr:    30331 cnt: 49
addr:    30380 cnt: 49
addr:    30429 cnt: 49
addr:    30478 cnt: 49
addr:    30527 cnt: 49
addr:    30576 cnt: 49
addr:    30625 cnt: 49
addr:    30674 cnt: 49
addr:    30723 cnt: 49
addr:    30772 cnt: 49
addr:    30821 cnt: 49
addr:    30870 cnt: 49
addr:    30919 cnt: 49
addr:    30968 cnt: 49
addr:    31017 cnt: 49
addr:    31066 cnt: 49
addr:    31115 cnt: 49
addr:    31164 cnt: 49
addr:    31213 cnt: 49
addr:    31262 cnt: 49
addr:    31311 cnt: 49
addr:    31360 cnt: 49
addr:    31409 cnt: 49
addr:    31458 cnt: 49
addr:    31507 cnt: 49
addr:    31556 cnt: 49
addr:    31605 cnt: 49
addr:    31654 cnt: 49
addr:    31703 cnt: 49
addr:    31752 cnt: 49
addr:    31801 cnt: 49
addr:    31850 cnt: 49
addr:    31899 cnt: 49
addr:    31948 cnt: 49
addr:    31997 cnt: 49
addr:    32046 cnt: 49
addr:    32095 cnt: 49
addr:    32144 cnt: 49
addr:    32193 cnt: 49
addr:    32242 cnt: 49
addr:    32291 cnt: 49
addr:    32340 cnt: 49
addr:    32389 cnt: 49
addr:    32438 cnt: 49
addr:    32487 cnt: 49
addr:    32536 cnt: 49
addr:    32585 cnt: 49
addr:    32634 cnt: 49
addr:    32683 cnt: 49
addr:    32732 cnt: 49
addr:    32781 cnt: 49
addr:    32830 cnt: 49
addr:    32879 cnt: 49
addr:    32928 cnt: 49
addr:    32977 cnt: 49
addr:    33026 cnt: 49
addr:    33075 cnt: 49
addr:    33124 cnt: 49
addr:    33173 cnt: 49
addr:    33222 cnt: 49
addr:    33271 cnt: 49
addr:    33320 cnt: 49
addr:    33369 cnt: 49
addr:    33418 cnt: 49
addr:    33467 cnt: 49
addr:    33516 cnt: 49
addr:    33565 cnt: 49
addr:    33614 cnt: 49
addr:    33663 cnt: 49
addr:    33712 cnt: 49
addr:    33761 cnt: 49
addr:    33810 cnt: 49
addr:    33859 cnt: 49
addr:    33908 cnt: 49
addr:    33957 cnt: 49
addr:    34006 cnt: 49
addr:    34055 cnt: 49
addr:    34104 cnt: 49
addr:    34153 cnt: 49
addr:    34202 cnt: 49
addr:    34251 cnt: 49
addr:    34300 cnt: 49
addr:    34349 cnt: 49
addr:    34398 cnt: 49
addr:    34447 cnt: 49
addr:    34496 cnt: 49
addr:    34545 cnt: 49
addr:    34594 cnt: 49
addr:    34643 cnt: 49
addr:    34692 cnt: 49
addr:    34741 cnt: 49
addr:    34790 cnt: 49
addr:    34839 cnt: 49
addr:    34888 cnt: 49
addr:    34937 cnt: 49
addr:    34986 cnt: 49
addr:    35035 cnt: 49
addr:    35084 cnt: 49
addr:    35133 cnt: 49
addr:    35182 cnt: 49
addr:    35231 cnt: 49
addr:    35280 cnt: 49
addr:    35329 cnt: 49
addr:    35378 cnt: 49
addr:    35427 cnt: 49
addr:    35476 cnt: 49
addr:    35525 cnt: 49
addr:    35574 cnt: 49
addr:    35623 cnt: 49
addr:    35672 cnt: 49
addr:    35721 cnt: 49
addr:    35770 cnt: 49
addr:    35819 cnt: 49
addr:    35868 cnt: 49
addr:    35917 cnt: 49
addr:    35966 cnt: 49
addr:    36015 cnt: 49
addr:    36064 cnt: 49
addr:    36113 cnt: 49
addr:    36162 cnt: 49
addr:    36211 cnt: 49
addr:    36260 cnt: 49
addr:    36309 cnt: 49
addr:    36358 cnt: 49
addr:    36407 cnt: 49
addr:    36456 cnt: 49
addr:    36505 cnt: 49
addr:    36554 cnt: 49
addr:    36603 cnt: 49
addr:    36652 cnt: 49
addr:    36701 cnt: 49
addr:    36750 cnt: 49
addr:    36799 cnt: 49
addr:    36848 cnt: 49
addr:    36897 cnt: 49
addr:    36946 cnt: 49
addr:    36995 cnt: 49
addr:    37044 cnt: 49
addr:    37093 cnt: 49
addr:    37142 cnt: 49
addr:    37191 cnt: 49
addr:    37240 cnt: 49
addr:    37289 cnt: 49
addr:    37338 cnt: 49
addr:    37387 cnt: 49
addr:    37436 cnt: 49
addr:    37485 cnt: 49
addr:    37534 cnt: 49
addr:    37583 cnt: 49
addr:    37632 cnt: 49
addr:    37681 cnt: 49
addr:    37730 cnt: 49
addr:    37779 cnt: 49
addr:    37828 cnt: 49
addr:    37877 cnt: 49
addr:    37926 cnt: 49
addr:    37975 cnt: 49
addr:    38024 cnt: 49
addr:    38073 cnt: 49
addr:    38122 cnt: 49
addr:    38171 cnt: 49
addr:    38220 cnt: 49
addr:    38269 cnt: 49
addr:    38318 cnt: 49
addr:    38367 cnt: 49
addr:    38416 cnt: 49
addr:    38465 cnt: 49
addr:    38514 cnt: 49
addr:    38563 cnt: 49
addr:    38612 cnt: 49
addr:    38661 cnt: 49
addr:    38710 cnt: 49
addr:    38759 cnt: 49
addr:    38808 cnt: 49
addr:    38857 cnt: 49
addr:    38906 cnt: 49
addr:    38955 cnt: 49
addr:    39004 cnt: 49
addr:    39053 cnt: 49
addr:    39102 cnt: 49
addr:    39151 cnt: 49
addr:    39200 cnt: 49
addr:    39249 cnt: 49
addr:    39298 cnt: 49
addr:    39347 cnt: 49
addr:    39396 cnt: 49
addr:    39445 cnt: 49
addr:    39494 cnt: 49
addr:    39543 cnt: 49
addr:    39592 cnt: 49
addr:    39641 cnt: 49
addr:    39690 cnt: 49
addr:    39739 cnt: 49
addr:    39788 cnt: 49
addr:    39837 cnt: 49
addr:    39886 cnt: 49
addr:    39935 cnt: 49
addr:    39984 cnt: 49
addr:    40033 cnt: 49
addr:    40082 cnt: 49
addr:    40131 cnt: 49
addr:    40180 cnt: 49
addr:    40229 cnt: 49
addr:    40278 cnt: 49
addr:    40327 cnt: 49
addr:    40376 cnt: 49
addr:    40425 cnt: 49
addr:    40474 cnt: 49
addr:    40523 cnt: 49
addr:    40572 cnt: 49
addr:    40621 cnt: 49
addr:    40670 cnt: 49
addr:    40719 cnt: 49
addr:    40768 cnt: 49
addr:    40817 cnt: 49
addr:    40866 cnt: 49
addr:    40915 cnt: 49
addr:    40964 cnt: 49
addr:    41013 cnt: 49
addr:    41062 cnt: 49
addr:    41111 cnt: 49
addr:    41160 cnt: 49
addr:    41209 cnt: 49
addr:    41258 cnt: 49
addr:    41307 cnt: 49
addr:    41356 cnt: 49
addr:    41405 cnt: 49
addr:    41454 cnt: 49
addr:    41503 cnt: 49
addr:    41552 cnt: 49
addr:    41601 cnt: 49
addr:    41650 cnt: 49
addr:    41699 cnt: 49
addr:    41748 cnt: 49
addr:    41797 cnt: 49
addr:    41846 cnt: 49
addr:    41895 cnt: 49
addr:    41944 cnt: 49
addr:    41993 cnt: 49
addr:    42042 cnt: 49
addr:    42091 cnt: 49
addr:    42140 cnt: 49
addr:    42189 cnt: 49
addr:    42238 cnt: 49
addr:    42287 cnt: 49
addr:    42336 cnt: 49
addr:    42385 cnt: 49
addr:    42434 cnt: 49
addr:    42483 cnt: 49
addr:    42532 cnt: 49
addr:    42581 cnt: 49
addr:    42630 cnt: 49
addr:    42679 cnt: 49
addr:    42728 cnt: 49
addr:    42777 cnt: 49
addr:    42826 cnt: 49
addr:    42875 cnt: 49
addr:    42924 cnt: 49
addr:    42973 cnt: 49
addr:    43022 cnt: 49
addr:    43071 cnt: 49
addr:    43120 cnt: 49
addr:    43169 cnt: 49
addr:    43218 cnt: 49
addr:    43267 cnt: 49
addr:    43316 cnt: 49
addr:    43365 cnt: 49
addr:    43414 cnt: 49
addr:    43463 cnt: 49
addr:    43512 cnt: 49
addr:    43561 cnt: 49
addr:    43610 cnt: 49
addr:    43659 cnt: 49
addr:    43708 cnt: 49
addr:    43757 cnt: 49
addr:    43806 cnt: 49
addr:    43855 cnt: 49
addr:    43904 cnt: 49
addr:    43953 cnt: 49
addr:    44002 cnt: 49
addr:    44051 cnt: 49
addr:    44100 cnt: 49
addr:    44149 cnt: 49
addr:    44198 cnt: 49
addr:    44247 cnt: 49
addr:    44296 cnt: 49
addr:    44345 cnt: 49
addr:    44394 cnt: 49
addr:    44443 cnt: 49
addr:    44492 cnt: 49
addr:    44541 cnt: 49
addr:    44590 cnt: 49
addr:    44639 cnt: 49
addr:    44688 cnt: 49
addr:    44737 cnt: 49
addr:    44786 cnt: 49
addr:    44835 cnt: 49
addr:    44884 cnt: 49
addr:    44933 cnt: 49
addr:    44982 cnt: 49
addr:    45031 cnt: 49
addr:    45080 cnt: 49
addr:    45129 cnt: 49
addr:    45178 cnt: 49
addr:    45227 cnt: 49
addr:    45276 cnt: 49
addr:    45325 cnt: 49
addr:    45374 cnt: 49
addr:    45423 cnt: 49
addr:    45472 cnt: 49
addr:    45521 cnt: 49
addr:    45570 cnt: 49
addr:    45619 cnt: 49
addr:    45668 cnt: 49
addr:    45717 cnt: 49
addr:    45766 cnt: 49
addr:    45815 cnt: 49
addr:    45864 cnt: 49
addr:    45913 cnt: 49
addr:    45962 cnt: 49
addr:    46011 cnt: 49
addr:    46060 cnt: 49
addr:    46109 cnt: 49
addr:    46158 cnt: 49
addr:    46207 cnt: 49
addr:    46256 cnt: 49
addr:    46305 cnt: 49
addr:    46354 cnt: 49
addr:    46403 cnt: 49
addr:    46452 cnt: 49
addr:    46501 cnt: 49
addr:    46550 cnt: 49
